Resource (Model),App Name,Module Path,Repo
FileStorage,document,project.document.models,crego-flow
DocumentStorage,document,project.document.models,crego-flow
Policy,policy,project.policy.models,crego-flow
Activity,workflow.activity,project.workflow.activity.models,crego-flow
ApprovalAction,workflow.approval,project.workflow.approval.models,crego-flow
ApprovalRequest,workflow.approval,project.workflow.approval.models,crego-flow
AuditLog,workflow.audit,project.workflow.audit.models,crego-flow
WorkflowChecklist,workflow.checklist,project.workflow.checklist.models,crego-flow
Props,workflow.design,project.workflow.design.models,crego-flow
StageItem,workflow.design,project.workflow.design.models,crego-flow
Stage,workflow.design,project.workflow.design.models,crego-flow
Graph,workflow.design,project.workflow.design.models,crego-flow
Design,workflow.design,project.workflow.design.models,crego-flow
Flow,workflow.flow,project.workflow.flow.models,crego-flow
Preset,workflow.preset,project.workflow.preset.models,crego-flow
Runner,workflow.runner,project.workflow.runner.models,crego-flow
Secret,workflow.secret,project.workflow.secret.models,crego-flow
Store,workflow.store,project.workflow.store.models,crego-flow
Template,workflow.template,project.workflow.template.models,crego-flow
WareHouse,workflow.warehouse,project.workflow.warehouse.models,crego-flow
Config,addon,project.apps.addon.models,crego-omni
Limit,addon,project.apps.addon.models,crego-omni
ApprovalDefinition,approval,project.apps.approval.models,crego-omni
ApprovalStage,approval,project.apps.approval.models,crego-omni
ApprovalStep,approval,project.apps.approval.models,crego-omni
ApproverAssignment,approval,project.apps.approval.models,crego-omni
ApprovalGroup,approval,project.apps.approval.models,crego-omni
ApprovalInstance,approval,project.apps.approval.models,crego-omni
ApprovalStageInstance,approval,project.apps.approval.models,crego-omni
ApprovalRecord,approval,project.apps.approval.models,crego-omni
AuditLog,audit,project.apps.audit.models,crego-omni
User,authz,project.apps.authz.models,crego-omni
Contact,contact,project.apps.contact.models,crego-omni
ContactAddress,contact,project.apps.contact.models,crego-omni
ContactBank,contact,project.apps.contact.models,crego-omni
ContactRelation,contact,project.apps.contact.models,crego-omni
ContactProps,contact,project.apps.contact.models,crego-omni
Branch,core,project.apps.core.models,crego-omni
Department,core,project.apps.core.models,crego-omni
Role,core,project.apps.core.models,crego-omni
UserAssignment,core,project.apps.core.models,crego-omni
Setting,core,project.apps.core.models,crego-omni
Props,core,project.apps.core.models,crego-omni
NameSpace,core,project.apps.core.models,crego-omni
CommandExecution,core,project.apps.core.models,crego-omni
ResourceMeta,core,project.apps.core.models,crego-omni
Component,ctm,project.apps.ctm.models,crego-omni
Transaction,ctm,project.apps.ctm.models,crego-omni
Ledger,ctm,project.apps.ctm.models,crego-omni
TransactionSummary,ctm,project.apps.ctm.models,crego-omni
TransactionBatch,ctm,project.apps.ctm.models,crego-omni
TransactionBatchItem,ctm,project.apps.ctm.models,crego-omni
Storage,docs,project.apps.docs.models,crego-omni
Category,docs,project.apps.docs.models,crego-omni
Document,docs,project.apps.docs.models,crego-omni
File,docs,project.apps.docs.models,crego-omni
DocumentShare,docs,project.apps.docs.models,crego-omni
GLAccount,gl,project.apps.gl.models,crego-omni
GLEntry,gl,project.apps.gl.models,crego-omni
JournalVoucher,gl,project.apps.gl.models,crego-omni
JournalVoucherLine,gl,project.apps.gl.models,crego-omni
TaxMaster,gl,project.apps.gl.models,crego-omni
TaxTransaction,gl,project.apps.gl.models,crego-omni
FinancialPeriod,gl,project.apps.gl.models,crego-omni
PostingBatch,gl,project.apps.gl.models,crego-omni
PostingBatchItem,gl,project.apps.gl.models,crego-omni
PurchaseOrder,invoice,project.apps.invoice.models,crego-omni
Invoice,invoice,project.apps.invoice.models,crego-omni
Drawdown,invoice,project.apps.invoice.models,crego-omni
DrawdownItem,invoice,project.apps.invoice.models,crego-omni
Product,product,project.apps.product.models,crego-omni
Program,product,project.apps.product.models,crego-omni
ProgramPartner,product,project.apps.product.models,crego-omni
Account,product,project.apps.product.models,crego-omni
ProductProps,product,project.apps.product.models,crego-omni
ProgramProps,product,project.apps.product.models,crego-omni
AccountProps,product,project.apps.product.models,crego-omni
AccountContactRelation,product,project.apps.product.models,crego-omni
Report,reports,project.apps.reports.models,crego-omni
GeneratedReport,reports,project.apps.reports.models,crego-omni
Review,review,project.apps.review.models,crego-omni
Schedule,schedule,project.apps.schedule.models,crego-omni
Demand,schedule,project.apps.schedule.models,crego-omni
Task,tasks,project.apps.tasks.models,crego-omni
Payout,transfer,project.apps.transfer.models,crego-omni
Payment,transfer,project.apps.transfer.models,crego-omni
PaymentProgram,transfer,project.apps.transfer.models,crego-omni
PaymentAccount,transfer,project.apps.transfer.models,crego-omni
WorkbookOperation,workbook,project.apps.workbook.models,crego-omni
Workflow,workflow,project.apps.workflow.models,crego-omni
Runner,workflow,project.apps.workflow.models,crego-omni
